API;Surf_X;Surf_Y;Date_Drilling;Date_Completion;Date_Production;deltaT_Dril_Comp;deltaT_Comp_Prod;Lateral_Length (ft);Depth_TVD_PPLS (ft);Erosion_PPLS (ft);Pressure_PPLS (PSI);TOC_PPLS (%);Vcarb_PPLS;Vsand_PPLS;Vclay_PPLS;PR_PPLS;YM_PPLS (PSI);RHOB_PPLS (g/cc);Res_PPLS (Ohmm);GR_PPLS (API);DT_PPLS (us/ft);DTs_PPLS (us/ft);Temperature (F);Temp_Anomaly (F);S3Tect_PPLS (PSI);S3_contrast_PPLS (PSI);Heat_Flow (W/m2);Zone;Nbr_Stages;Frac_Gradient (PSI/ft);Proppant_Designed (kg);Proppant_in_Formation (kg);Avg_Breakdown_Pressure (KPa);Avg_Treating_Pressure (KPa);Max_Treating_pressure (KPa);Min_Treating_Pressure (KPa);Avg_Rate_Slurry (bpm);Max_Rate_Slurry (bpm);Min_Rate_Slurry (bpm);ShutInPressure_Fil (KPa);ShutInPressure_Initial (KPa);ISIP (KPa);Shot_Density (shots/ft);Shot_Total;Proppant_per_ft (kg/ft);Stage_Spacing (ft);GasCum360;OilCum360
661;0.42960043200000003;-0.193200807;2013-01-06;2014-03-21;2014-08-05;439.0;137.0;-1.124200249;-0.214335515;-1.262296348;-0.15319712800000002;0.46601997700000003;-0.024553785;0.16078226699999998;-0.29198939;0.310320587;-0.051067152000000005;-0.09215099800000001;0.121735765;-0.260388352;0.260488686;-0.9779101020000001;0.477288224;0.040659714;0.55405927;-0.316393256;-0.490866676;Z6;-0.6483567610000001;-0.125815349;-0.23107551;-0.23439116;1.3081596009999998;-0.248357628;-0.073026892;-0.885106315;0.5672186779999999;0.21297328899999998;0.635528086;-0.067824941;0.069977811;-0.25369836100000004;-1.253690467;0.181738053;0.9790996120000001;-0.18443385699999998;-0.323593339;-0.659768196
523;-0.08267243;-0.539854429;2014-08-31;2015-02-17;2015-03-08;170.0;19.0;1.286520949;0.870034135;0.717834247;0.6743758809999999;0.328089582;-0.294986441;0.16078226699999998;0.540915596;-0.7882697040000001;-0.359022615;1.017158165;-0.007986624;0.157309843;-0.655195271;-0.8395714879999999;-0.7661355790000001;-0.43339002;-0.32181404399999997;1.460814541;-0.567983256;Z3;2.198988109;0.25640413;2.391081005;2.442702715;-0.323281739;0.465576712;0.217985614;-1.453487391;-0.954223413;0.621123431;-1.364776098;0.8357889209999999;1.1361261040000001;0.995648682;0.667339212;-0.560749524;1.9996335490000001;-1.225036347;-0.35634279;1.7825465630000001
703;-0.457414573;-0.082104398;2013-04-11;2014-08-07;2014-07-30;483.0;-8.0;-0.781945045;0.511093308;0.592494615;-0.937429704;1.6460911319999998;0.3810952;-0.190942802;-0.847259381;0.310320587;1.3025431;-0.300146465;0.0039003840000000002;-0.055336511;-0.430762928;-0.370943449;-0.18764429100000002;-0.142743134;0.511810199;0.125895504;0.070914472;Z3;-0.502339076;-0.11084771800000001;-0.7243172720000001;-0.718412717;2.394770382;0.38204544799999995;0.053092257999999996;1.1012795420000001;0.8242566859999999;0.512363902;0.667126506;-0.28778601800000003;0.979601925;-0.386425009;-1.253690467;0.181738053;-0.492790746;-0.181300034;-1.06714518;0.283034811
473;0.376282364;-0.310432333;2011-11-24;2012-11-05;2012-07-13;347.0;-115.0;-0.44280125299999995;0.025900472;-1.093254679;0.164814662;0.665252769;-0.294986441;0.336644801;-0.014354394;0.310320587;-0.013319791000000001;0.254508116;0.18006391800000002;-0.11077645400000001;0.103386046;-1.0942294209999999;0.513859512;0.059310851;0.613476152;-0.077870287;-0.16139027;Z3;-1.086409818;-0.411446508;-0.423782679;-0.43504999200000005;-0.65522537;0.061635450999999994;-0.067098527;-0.170270365;0.082610618;0.759122148;0.033723065;-1.034050505;-1.34210278;-1.546777614;-0.293175628;-1.3032371;-0.29506236399999997;2.135884543;-0.734454103;-0.328649714
309;-0.11311023699999999;-0.111412279;2014-11-20;2015-07-04;2015-07-23;226.0;19.0;0.258510774;0.190913245;1.229473867;-0.34712646;0.580961972;1.05717684;-1.070255474;-0.29198939;0.310320587;-0.23453074;-0.300146465;-0.164827755;-0.040906937000000004;-0.067182534;0.072314533;-0.5134612239999999;-0.554622411;-0.070280205;0.797692118;-0.35167483200000005;Z3;1.3958908380000001;0.123856555;1.463522346;1.519380766;-0.21335316899999998;-0.675810425;-0.212471405;-0.9326305659999999;-0.145624272;0.22573569999999998;-0.868363537;0.9237070079999999;1.470666882;0.561382711;0.667339212;-0.560749524;2.034629795;-1.226545742;-0.271119034;0.975603239
382;-2.31561571;1.968079602;2013-11-23;2014-03-13;2014-12-03;110.0;265.0;0.24046459;-0.321921482;0.95679819;0.486036046;-2.009064329;0.110662543;0.16078226699999998;-0.014354394;0.310320587;1.811978749;-0.022819175;-0.510224745;-0.122168223;-1.8895731530000002;-0.43556529299999996;-0.659746377;0.36394609;-1.463224646;0.949209938;0.198168765;Z3;;;;;;;;;;;;;;;;;;;0.346808479;3.65361875
772;-0.31818133;0.375489325;2014-10-10;2015-04-02;2015-10-05;174.0;186.0;1.178243848;-0.388168846;-0.007004977;-1.201315079;-0.606771982;0.786744184;-0.894392939;-0.29198939;0.310320587;0.779367687;-0.230814643;-0.18929959100000002;0.06313788599999999;0.04054499;1.4691037230000001;0.08830270300000001;0.05153954400000001;-0.294101742;-1.1523823640000002;0.484908739;Z3;0.373767038;0.12744238300000002;0.248704968;0.28525327699999997;2.470983066;0.69622924;0.789141048;0.9812682540000001;-1.480983491;-1.209912047;-1.102826574;0.553069691;0.9279478720000001;0.799663329;0.667339212;-0.560749524;-0.485870034;-0.213844495;-0.55036283;-0.123280426
774;-0.46566766200000004;0.782771184;2014-03-05;2014-01-07;2014-02-09;-57.0;33.0;0.607611082;-0.838949081;-0.9078721829999999;-0.668238673;-1.878796734;0.651527856;-1.070255474;0.263280601;-0.23897455899999998;0.250620925;0.739830874;-0.505003124;0.063897337;-0.287126229;0.6232755870000001;0.158120617;0.165000628;-0.9768422529999999;-0.15321059199999998;0.46461490299999997;Z3;1.687926209;-0.016707416;1.800816404;1.8506322069999999;-0.7048993179999999;-0.7397188090000001;-0.424137815;-0.18694265699999998;0.22665228;-0.6889723809999999;0.49147240600000003;0.21719477399999998;0.6951824670000001;0.183033783;1.627854051;0.181738053;2.045059279;-1.232963899;0.657850864;0.8511178559999999
335;0.985879388;-0.436163144;2013-07-16;2014-01-16;2014-09-03;184.0;230.0;-0.396752371;-0.284309875;1.4529989209999998;-0.108939668;-1.18914476;1.05717684;-1.070255474;-0.847259381;0.310320587;1.1983656459999998;0.046512648;-0.197312493;-0.218618533;1.13577482;0.061304885;0.852975095;1.212572827;1.472425458;-0.63288468;0.586377923;Z5;-0.35632139;0.253035028;-0.55516227;-0.5254159660000001;-0.727914148;-2.163094718;-1.50763139;-1.017105949;-2.280848488;-3.126414511;0.17993130100000002;;1.9817872019999998;1.18441426;-1.253690467;0.181738053;-0.498263392;-0.149417814;-0.674947843;-0.846180319
269;0.406886271;-0.23845217600000002;2013-05-05;2014-03-15;2014-03-05;314.0;-10.0;-0.488850135;-0.120787901;-1.202807954;-0.056974817000000004;0.580961972;-0.15977011300000002;0.16078226699999998;-0.29198939;0.310320587;-0.010961943;0.046512648;0.157324601;-0.20950511800000002;0.193158983;-1.029607577;0.555417795;0.11371000099999999;0.570688683;-0.24496281;-0.32612847300000003;Z6;-0.35632139;-0.012399988999999998;-0.560242;-0.547199691;1.847711265;-0.39024322;0.07063117;0.011937887;0.049916243;0.117872741;0.60530951;-0.5016954;-0.271510784;0.176120088;-1.253690467;0.181738053;-0.45295886700000004;-0.212425405;-0.152747792;-0.596577646
